Name,Team,gamesPlayed,gamesStarted,wins,losses,era,inningsPitched,strikeOuts,baseOnBalls,homeRuns,whip,age,groundOuts,airOuts,runs,doubles,triples,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,saves,saveOpportunities,holds,blownSaves,earnedRuns,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies
José Soriano,Los Angeles Angels,4,4,4,0,0.33,27.0,31,9,1,0.67,27,30,18,1,1,0,1,9,0,.103,87,.188,.149,.337,0,1,1.000,.000,3,384,0,0,0,0,1,97,81,4,0,0,254,.660,0,0,0,0,13,1.67,1.000,14.22,0,3.44,10.33,3.00,3.00,0.33,0.33,0,0,0,1,0
Cristopher Sánchez,Philadelphia Phillies,4,4,2,1,2.01,22.1,31,7,1,1.39,29,23,10,7,6,0,0,24,0,.273,88,.326,.375,.701,0,0,.---,.---,3,372,0,0,0,0,5,95,67,4,0,0,247,.660,0,0,0,0,33,2.30,.667,16.66,0,4.43,12.49,2.82,9.67,2.82,0.40,0,0,0,0,0
Cam Schlittler,New York Yankees,4,4,2,1,2.49,21.2,30,1,0,0.74,25,20,15,6,4,1,0,15,0,.190,79,.200,.266,.466,0,2,1.000,.000,0,316,0,0,0,0,6,81,65,4,0,0,226,.720,0,0,0,0,21,1.33,.667,14.58,0,30.00,12.46,0.42,6.23,2.49,0.00,0,0,0,1,0
Taj Bradley,Minnesota Twins,4,4,3,0,1.25,21.2,29,8,0,1.25,25,11,24,3,4,0,0,19,2,.229,83,.312,.277,.589,0,0,.---,.---,1,402,0,0,0,0,3,93,65,4,0,0,253,.630,2,0,1,0,23,0.46,1.000,18.55,0,3.63,12.05,3.32,7.89,1.25,0.00,0,0,0,0,0
Gavin Williams,Cleveland Guardians,4,4,2,1,2.38,22.2,29,16,3,1.15,26,19,15,6,0,1,0,10,0,.137,73,.292,.288,.580,1,2,.667,.333,3,369,0,0,0,0,6,89,68,4,0,0,225,.610,0,0,0,1,21,1.27,.667,16.28,0,1.81,11.51,6.35,3.97,2.38,1.19,0,0,0,0,0
Jacob Misiorowski,Milwaukee Brewers,3,3,1,1,3.31,16.1,28,9,2,1.04,24,11,9,6,1,0,0,8,2,.143,56,.284,.268,.552,0,0,.---,.---,1,289,0,0,0,0,6,67,49,3,0,0,175,.610,2,0,0,0,15,1.22,.500,17.69,0,3.11,15.43,4.96,4.41,3.31,1.10,0,0,0,0,0
Dylan Cease,Toronto Blue Jays,3,3,0,0,2.45,14.2,26,9,0,1.43,30,8,11,6,1,0,0,12,1,.211,57,.328,.228,.556,0,4,1.000,.000,0,279,0,0,0,0,4,67,44,3,0,0,169,.610,1,0,0,0,13,0.73,.---,19.02,0,2.89,15.95,5.52,7.36,3.68,0.00,0,0,0,0,0
Nathan Eovaldi,Texas Rangers,4,4,2,2,5.40,21.2,26,7,4,1.48,36,18,20,13,3,0,0,25,1,.284,88,.340,.455,.795,0,1,1.000,.000,1,345,0,0,0,0,13,97,65,4,0,0,223,.650,1,0,3,0,40,0.90,.500,15.92,0,3.71,10.80,2.91,10.38,5.40,1.66,0,0,0,0,1
Kevin Gausman,Toronto Blue Jays,3,3,0,1,2.08,17.1,26,2,1,0.63,35,16,11,4,2,0,0,9,0,.145,62,.172,.226,.398,0,0,.---,.---,0,256,0,0,0,0,4,64,52,3,0,0,180,.700,0,1,0,0,14,1.45,.000,14.77,0,13.00,13.50,1.04,4.67,2.08,0.52,0,0,0,0,0
Jesús Luzardo,Philadelphia Phillies,3,3,1,2,6.23,17.1,26,4,2,1.15,28,17,8,12,2,0,0,16,0,.239,67,.282,.358,.640,1,1,.500,.500,0,284,0,0,0,0,12,71,52,3,0,0,182,.640,0,0,2,0,24,2.13,.333,16.38,0,6.50,13.50,2.08,8.31,6.23,1.04,0,0,0,0,0
Logan Gilbert,Seattle Mariners,4,4,1,2,4.18,23.2,25,4,2,1.10,29,16,24,11,10,0,0,22,0,.253,87,.286,.437,.723,1,1,.500,.500,4,362,0,0,0,0,11,91,71,4,0,0,234,.650,0,0,2,1,38,0.67,.333,15.30,0,6.25,9.51,1.52,8.37,4.18,0.76,0,0,0,0,0
MacKenzie Gore,Texas Rangers,3,3,2,0,2.76,16.1,25,5,2,0.86,27,13,10,5,0,0,0,9,1,.158,57,.238,.263,.501,0,0,.---,.---,1,260,0,0,0,0,5,63,49,3,0,0,160,.620,1,0,0,0,15,1.30,1.000,15.92,0,5.00,13.78,2.76,4.96,2.76,1.10,0,0,0,0,0
Freddy Peralta,New York Mets,4,4,1,1,3.86,21.0,25,8,3,1.14,30,22,17,9,2,0,0,16,1,.203,79,.284,.342,.626,0,1,1.000,.000,0,373,0,0,0,0,9,89,63,4,0,0,233,.620,1,0,1,0,27,1.29,.500,17.76,0,3.13,10.71,3.43,6.86,3.86,1.29,0,0,0,1,0
Nick Pivetta,San Diego Padres,4,4,1,2,4.50,16.0,24,6,0,1.13,33,7,17,8,4,0,0,12,0,.200,60,.273,.267,.540,0,1,1.000,.000,0,283,0,0,0,0,8,66,48,4,0,0,184,.650,0,0,0,0,16,0.41,.333,17.69,0,4.00,13.50,3.38,6.75,4.50,0.00,0,0,0,0,0
Luis Severino,Athletics,4,4,0,2,5.59,19.1,24,16,2,1.71,32,16,13,12,1,1,0,17,0,.243,70,.384,.371,.755,0,1,1.000,.000,4,369,0,0,0,0,12,86,58,4,0,0,216,.590,0,0,0,1,26,1.23,.000,19.09,0,1.50,11.17,7.45,7.91,5.59,0.93,0,0,0,0,0
Kris Bubic,Kansas City Royals,3,3,2,1,2.50,18.0,23,7,2,0.83,28,15,15,5,3,1,0,8,0,.131,61,.221,.311,.532,1,2,.667,.333,0,259,0,0,0,0,5,68,54,3,0,0,165,.640,0,0,1,1,19,1.00,.667,14.39,0,3.29,11.50,3.50,4.00,2.50,1.00,0,0,0,0,0
Tarik Skubal,Detroit Tigers,4,4,2,2,2.22,24.1,23,4,1,0.95,29,25,23,7,5,1,0,19,1,.213,89,.253,.326,.579,0,0,.---,.---,5,352,0,0,0,0,6,95,73,4,0,0,236,.670,1,0,0,0,29,1.09,.500,14.47,0,5.75,8.51,1.48,7.03,2.59,0.37,0,0,0,0,1
Michael Soroka,Arizona Diamondbacks,3,3,3,0,2.87,15.2,23,6,1,1.21,28,11,11,5,5,0,0,13,3,.224,58,.328,.362,.690,2,2,.500,.500,0,273,0,0,0,0,5,67,47,3,0,0,178,.650,3,0,0,0,21,1.00,1.000,17.43,0,3.83,13.21,3.45,7.47,2.87,0.57,0,0,0,0,0
Sandy Alcantara,Miami Marlins,4,4,2,1,2.67,30.1,22,6,3,0.86,30,31,36,10,1,0,0,20,1,.183,109,.233,.275,.508,1,2,.667,.333,1,361,0,0,0,0,9,116,91,4,1,1,244,.680,1,0,1,0,30,0.86,.667,11.90,0,3.67,6.53,1.78,5.93,2.97,0.89,0,0,0,0,0
Garrett Crochet,Boston Red Sox,4,4,2,2,7.58,19.0,22,7,3,1.58,27,18,18,18,6,0,0,23,4,.288,80,.374,.475,.849,0,0,.---,.---,2,335,0,0,0,0,16,92,57,4,0,0,210,.630,4,0,2,0,38,1.00,.500,17.63,0,3.14,10.42,3.32,10.89,8.53,1.42,0,0,0,1,0
